date,ambientTemp,outdoorTemp,rainfall,T1Power,T2Power
1/1/2022,29.46,29.23,0,0,0
1/2/2022,29.46,29.23,0,0,0
1/3/2022,29.46,29.23,0,0,0
1/4/2022,29.46,29.23,0,0,0
1/5/2022,29.46,29.23,0,0,0
1/6/2022,29.46,29.23,0,0,0
1/7/2022,29.46,29.23,0,0,0
1/8/2022,29.46,29.23,0,0,0
1/9/2022,29.46,29.23,0,0,0
1/10/2022,29.46,29.23,0,0,0
1/11/2022,29.46,29.23,0,0,0
1/12/2022,29.46,29.23,0,0,0
1/13/2022,29.46,29.23,0,0,0
1/14/2022,29.46,29.23,0,0,0
1/15/2022,29.46,29.23,0,0,0
1/16/2022,29.46,29.23,0,0,0
1/17/2022,29.46,29.23,0,0,0
1/18/2022,29.46,29.23,0,0,0
1/19/2022,28.78,30.56,0,0,0
1/20/2022,29.27,30.66,0,0,0
1/21/2022,29.26,30.37,0,0,0
1/22/2022,30.94,35.44,0,0,0
1/23/2022,30.94,35.44,0,0,0
1/24/2022,28.86,30.74,0,0,0
1/25/2022,28.53,30.19,0,0,0
1/26/2022,28.54,27.95,0,0,0
1/27/2022,28.54,27.95,0,0,0
1/28/2022,28.54,27.95,0,0,0
1/29/2022,28.54,27.95,0,0,0
1/30/2022,28.54,27.95,0,0,0
1/31/2022,28.54,27.95,0,0,0
2/1/2022,28.54,27.95,0,0,0
2/2/2022,28.54,27.95,0,0,0
2/3/2022,28.54,27.95,0,0,0
2/4/2022,28.54,27.95,0,0,0
2/5/2022,28.54,27.95,0,0,0
2/6/2022,28.54,27.95,0,0,0
2/7/2022,28.54,27.95,0,0,0
2/8/2022,28.54,27.95,0,0,0
2/9/2022,28.54,27.95,0,0,0
2/10/2022,28.54,27.95,0,0,0
2/11/2022,28.54,27.95,0,0,0
2/12/2022,28.54,27.95,0,0,0
2/13/2022,27.88,27.67,0,0,0
2/14/2022,26.87,30.12,0,0,0
2/15/2022,26.87,31.66,0,0,0
2/16/2022,26.87,31.66,0,0,0
2/17/2022,26.87,31.66,0,0,0
2/18/2022,26.87,31.66,0,0,0
2/19/2022,29.28,31.81,0,0,0
2/20/2022,28.26,31.29,0,0,0
2/21/2022,28.58,31.16,0,0,0
2/22/2022,28.75,31.13,0,0,0
2/23/2022,28.25,31.5,0,0,0
2/24/2022,28.25,28.76,0,0,0
2/25/2022,27.25,26.34,0,0,0
2/26/2022,26.74,27.85,0,0,0
2/27/2022,26.74,27.85,0,0,0
2/28/2022,27.38,30.98,0,0,0
3/1/2022,27.77,30.39,0,0,0
3/2/2022,29.27,31.79,0,0,0
3/3/2022,28.35,31.59,0,0,0
3/4/2022,28.66,30.7,0,-0.05,0.97
3/5/2022,26.88,29.57,0,0.04,0
3/6/2022,27.05,30.99,0,0.04,0
3/7/2022,27.53,29.32,0,0.85,0
3/8/2022,27.52,29.34,0,2.37,0
3/9/2022,27.52,30.36,0,2.66,0
3/10/2022,28.53,29.98,0,0.22,0
3/11/2022,28.34,32.59,0,1.48,0
3/12/2022,27.55,31.03,0,0.18,0
3/13/2022,27.55,32.23,0,0.18,0
3/14/2022,28.27,31.93,0,0.81,0
3/15/2022,27.98,31.87,0,0,0
3/16/2022,28.48,30.93,0,0,0
3/17/2022,27.47,29.45,0,0,0
3/18/2022,28.57,30.62,0,0,0
3/19/2022,28.76,32.63,0,0,0
3/20/2022,29.29,33.02,0,3.74,3.43
3/21/2022,28.95,29.69,0,3,3.03
3/22/2022,29.55,30.61,0,1.95,1.83
3/23/2022,29.28,31.22,0,3.4,2.76
3/24/2022,29.45,30.61,0,4.46,0.15
3/25/2022,29.45,32.25,0,4.46,0.15
3/26/2022,28.95,32.28,0,4.46,0.15
3/27/2022,28.95,32.79,0,4.46,0.15
3/28/2022,30.12,32.96,0,2.25,0.15
3/29/2022,30.23,32.78,0,4.5,0.15
3/30/2022,29.44,32.45,0,2.17,0.15
3/31/2022,28.44,32.62,0,0.06,0.15
4/1/2022,28.75,32.71,0,0.06,0.15
4/2/2022,28.45,31.54,0,3.17,3.39
4/3/2022,28.48,29.83,0,3.84,2.61
4/4/2022,28.47,29.76,0,4.17,4.14
4/5/2022,27.96,29.05,0,4.09,3.91
4/6/2022,28.26,28.85,0,4.13,3.8
4/7/2022,28.78,31.08,0,4.18,4.03
4/8/2022,28.95,29.94,0,4.09,4.13
4/9/2022,29.45,32.32,0,4.18,4.09
4/10/2022,30.25,33.25,0,4.16,3.53
4/11/2022,28.95,32.47,0,3.87,2.96
4/12/2022,29.45,31.73,0,4.16,4.02
4/13/2022,29.95,32.4,0,4.04,4.14
4/14/2022,29.45,31.05,0,3.97,3.58
4/15/2022,29.95,33.05,0,4.17,3.42
4/16/2022,29.45,31.76,0,3.83,3.63
4/17/2022,30.25,33.05,0,2.12,2.53
4/18/2022,29.44,31.75,0,3.57,3.66
4/19/2022,29.95,30.86,0,3.34,2.13
4/20/2022,28.45,31.94,0,4.07,2.89
4/21/2022,29.78,31.39,0,4.2,2.66
4/22/2022,29.95,32.81,0,4.16,2.78
4/23/2022,29.45,30.93,0,4.17,2.75
4/24/2022,29.45,33.38,0,4.11,2.87
4/25/2022,29.45,33.2,0,4.15,2.99
4/26/2022,29.95,32.83,0,4.1,2.84
4/27/2022,30.05,33.63,0,4.18,2.64
4/28/2022,30.95,35.22,0,4.12,2.76
4/29/2022,29.77,32.63,0,3.89,2.91
4/30/2022,30.05,31.75,0,4.15,2.63
5/1/2022,30.25,34.23,0,3.86,2.66
5/2/2022,29.94,33.55,0,3.52,2.81
5/3/2022,29.44,31.04,0,4.11,2.73
5/4/2022,28.78,30.55,0,4.03,2.48
5/5/2022,29.95,33.47,0,3.68,2.74
5/6/2022,29.45,32.77,0,3.78,2.61
5/7/2022,29.45,33.27,0,2.41,2.39
5/8/2022,29.95,31.71,0,2.87,2.52
5/9/2022,29.45,30.54,0,3.06,2.44
5/10/2022,29.45,33.35,0,3.64,2.7
5/11/2022,29.25,32.09,0,3.33,2.56
5/12/2022,29.78,33.97,0,3.92,2.61
5/13/2022,29.45,33.38,0,4.2,2.58
5/14/2022,29.64,34.47,0,2.7,1.08
5/15/2022,29.42,31.44,0,3.4,1.3
5/16/2022,28.76,30.42,0,3.26,2.8
5/17/2022,28.94,30.43,0,3.52,2.15
5/18/2022,29.05,31.36,0,3.55,3.51
5/19/2022,29.95,32.69,0,4.07,2.08
5/20/2022,30.45,33.77,0,0,3.29
5/21/2022,29.95,33.2,0,0,2.95
5/22/2022,29.45,33.99,0,3.73,2.63
5/23/2022,29.45,33.47,0,2.66,2.5
5/24/2022,29.95,34.36,0,3.23,2.3
5/25/2022,28.77,32.98,0,3.23,2.55
5/26/2022,29.05,31.73,0,2.99,2.27
5/27/2022,28.78,30.98,0,2.8,2.44
5/28/2022,29.45,32.22,0,3.48,1.28
5/29/2022,29.45,32.15,0,2.64,0.1
5/30/2022,28.95,33.55,0,4.52,0.1
5/31/2022,29.78,34.04,0,4.52,0.1
6/1/2022,28.78,30.05,0,4.52,0.1
6/2/2022,29.78,31.91,0,3.5,2.28
6/3/2022,29.25,32.27,0,3.42,2.75
6/4/2022,30.25,31.45,0,4.27,2.91
6/5/2022,29.45,29.88,0,4.03,2.8
6/6/2022,29.45,33.05,0,4.21,2.86
6/7/2022,28.95,29.63,0,3.31,3.11
6/8/2022,29.45,30.85,0,4.01,2.69
6/9/2022,29.45,33.48,0,3.35,2.88
6/10/2022,29.45,30.5,0,2.77,3.51
6/11/2022,28.95,32.85,0,3.25,3.52
6/12/2022,28.95,30.54,0,3.15,2.49
6/13/2022,29.95,33.27,0,4.56,3.95
6/14/2022,29.45,33.79,0,3.53,3.16
6/15/2022,28.78,30.32,0,3.64,2.8
6/16/2022,29.59,31.74,0,3.93,3.51
6/17/2022,28.77,31.93,0,3.82,2.84
6/18/2022,29.45,32.05,0,4.62,3.39
6/19/2022,29.78,32.92,0,2.78,3.1
6/20/2022,29.25,33.29,0,2.55,3.4
6/21/2022,29.79,31.77,0,3.01,3.43
6/22/2022,29.95,32.34,0,3.86,3.49
6/23/2022,28.94,31.77,0,4.15,3.69
6/24/2022,28.94,29.37,0,4.52,3.47
6/25/2022,29.45,32.25,0,3.32,3.42
6/26/2022,29.45,32.62,0,3.22,3.6
6/27/2022,29.45,33.67,0,4.63,3.38
6/28/2022,30.45,33.48,0,4.63,3.45
6/29/2022,29.94,34.12,0,2.63,3.39
6/30/2022,29.94,32.27,0,2.35,3.32
7/1/2022,30.78,32.05,0,4.47,2.56
7/2/2022,30.45,33.21,0,3.16,2.58
